seed,phase_epoch,full_accuracy,dominant_accuracy,weak_accuracy,full_loss,weak_loss,dominant_ratio,weak_ratio,parity_gap,checkpoint_path,checkpoint_retained
83,152,0.8586,0.8304,0.8142,0.9508037583488987,0.8731962663492591,0.9662555271119385,0.9572066776393134,-0.009048849472625076,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_152.pth",True
83,156,0.8496,0.8304,0.8158,1.0284784280692985,0.898241616181767,0.9662555271119385,0.9590877027980249,-0.007167824313913607,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_156.pth",True
83,160,0.8578,0.8304,0.8136,1.0064685046078905,0.8764884247411434,0.9662555271119385,0.9565012932047966,-0.009754233907141918,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_160.pth",True
83,164,0.8536,0.8304,0.8118,1.0539917676994688,0.9584873912054507,0.9662555271119385,0.9543851399012461,-0.011870387210692446,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_164.pth",True
83,168,0.8522,0.8304,0.8094,1.0440027122504674,0.9594731296096489,0.9662555271119385,0.9515636021631789,-0.014691924948759594,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_168.pth",True
83,172,0.8542,0.8304,0.813,1.0283391256281162,0.9351966997783816,0.9662555271119385,0.9557959087702798,-0.01045961834165876,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_172.pth",True
83,176,0.8534,0.8304,0.8154,1.048267975446534,0.9250082973607464,0.9662555271119385,0.958617446508347,-0.007638080603591502,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_176.pth",True
83,180,0.859,0.8304,0.8172,1.008979069068276,0.9833943697418178,0.9662555271119385,0.9607335998118975,-0.005521927300040974,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_180.pth",True
83,184,0.8508,0.8304,0.8164,1.1035961374391736,0.9470258405136155,0.9662555271119385,0.9597930872325418,-0.006462439879396764,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_184.pth",True
83,188,0.8578,0.8304,0.8204,1.0314457452026693,0.9393752608172816,0.9662555271119385,0.9644956501293205,-0.001759876982618036,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_188.pth",True
