seed,phase_epoch,weak_accuracy,full_accuracy,dominant_accuracy,weak_accuracy_gain,full_accuracy_change,dominant_accuracy_change,weak_accuracy_slope,full_accuracy_slope,dominant_accuracy_slope,target,pareto_reversal,weak_futile,accuracy_harm,futility_with_harm,target_checks,pareto_checks,futility_harm_checks,dominator_epoch
83,90,0.8236,0.7304,0.7098,0.595,-0.14979999999999993,-0.129,0.0003520000000000034,0.0016080000000000027,7.999999999999785e-05,True,False,False,False,False,3,0,0,
83,95,0.8342,0.7366,0.7136,0.6056,-0.14359999999999995,-0.12519999999999998,0.0004520000000000035,0.0005800000000000027,0.0007559999999999989,True,False,False,False,False,4,0,0,
83,100,0.8254,0.7368,0.7218,0.5968,-0.14339999999999997,-0.11699999999999999,0.00033600000000000074,1.2000000000000898e-05,0.0010759999999999993,True,False,False,False,False,5,0,0,
83,105,0.8264,0.7518,0.7122,0.5978,-0.12839999999999996,-0.12659999999999993,0.00023600000000000064,0.0014159999999999995,0.000304000000000002,True,False,False,False,False,6,0,0,
83,110,0.8256,0.7338,0.7032,0.597,-0.14639999999999997,-0.13559999999999994,-7.60000000000005e-05,0.00043999999999999817,-0.0002919999999999967,False,True,True,True,True,0,1,1,95
83,115,0.8296,0.7422,0.6984,0.601,-0.138,-0.14039999999999997,-0.00018000000000000237,0.00016399999999999748,-0.0009799999999999987,False,False,True,True,True,0,0,2,
83,120,0.8332,0.7512,0.7086,0.6046,-0.129,-0.13019999999999998,0.0003760000000000008,0.0003839999999999977,-0.0008040000000000002,False,False,False,True,False,0,0,0,
83,125,0.8288,0.7304,0.7042,0.6002,-0.14979999999999993,-0.13459999999999994,0.0002479999999999993,-0.0005079999999999996,-0.0002120000000000011,False,True,False,True,False,0,1,0,95
83,130,0.8338,0.7426,0.7024,0.6052,-0.13759999999999994,-0.13639999999999997,0.00031199999999999896,0.00011600000000000277,8.399999999999963e-05,False,True,False,False,False,0,2,0,120
83,135,0.8252,0.7324,0.7018,0.5966,-0.14779999999999993,-0.137,-0.0001639999999999997,-0.0005639999999999956,1.1999999999998679e-05,False,True,True,True,True,0,3,1,95
83,140,0.831,0.7464,0.708,0.6023999999999999,-0.13380000000000003,-0.13080000000000003,-0.00016000000000000237,-0.000152000000000001,-7.200000000000317e-05,False,True,True,True,True,0,4,2,120
83,145,0.8296,0.7326,0.6856,0.601,-0.14759999999999995,-0.1532,-2.3999999999999577e-05,0.00016399999999999748,-0.0006320000000000037,False,True,True,True,True,0,5,3,95
83,150,0.8366,0.736,0.6984,0.608,-0.1442,-0.14039999999999997,0.00020000000000000017,-0.00026000000000000247,-0.000484,False,False,False,True,False,0,0,0,
83,155,0.8314,0.7206,0.6948,0.6028,-0.15959999999999996,-0.14400000000000002,0.0003600000000000003,-0.0006800000000000006,-0.0004719999999999991,False,True,False,True,False,0,1,0,150
83,160,0.83,0.7486,0.6972,0.6013999999999999,-0.13159999999999994,-0.14159999999999995,-3.999999999999559e-06,-0.0001519999999999966,-0.00024799999999999714,False,True,True,True,True,0,2,1,120
83,165,0.8296,0.7406,0.6922,0.601,-0.13959999999999995,-0.14659999999999995,-0.000132000000000001,0.0005720000000000014,0.00024000000000000245,False,True,True,False,False,0,3,0,120
83,170,0.8318,0.728,0.691,0.6032,-0.1522,-0.14780000000000004,-0.00022800000000000153,8.000000000000007e-05,-0.00034800000000000163,False,True,True,True,True,0,4,1,150
83,175,0.8334,0.7544,0.6878,0.6048,-0.12580000000000002,-0.15100000000000002,0.00011600000000000054,0.0009399999999999964,-0.0004040000000000021,False,False,False,True,False,0,0,0,
