seed,target_fraction,phase_epoch,checkpoint_path,weak_only_accuracy,weak_only_loss,gap_mean,ci_lower,ci_upper,standard_error,effective_alpha,n_examples,ci_crossing
83,0.99,96,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_96.pth",0.8108,0.767933690571401,-0.006435435983777171,-0.033990314248871716,0.021119442281317374,0.007869858665662435,0.00046296296296296336,5000,False
83,0.99,100,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_100.pth",0.8066,0.8016057569662978,-0.011373127025394853,-0.03919018847591962,0.01644393442512991,0.007944739947807774,0.00046296296296296336,5000,False
83,0.99,104,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_104.pth",0.8048,0.8151987510966511,-0.013489280328945287,-0.040913322699809414,0.01393476204191884,0.007832491053797741,0.00046296296296296336,5000,False
83,0.99,108,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_108.pth",0.7974,0.8860173528324035,-0.022189021687985963,-0.05008637928557171,0.005708335909599786,0.007967673067768884,0.00046296296296296336,5000,False
83,0.99,112,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_112.pth",0.8118,0.8102558903314683,-0.005259795259582487,-0.03283127805694816,0.02231168753778319,0.007874601031820836,0.00046296296296296336,5000,False
83,0.99,116,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_116.pth",0.8118,0.8240026963551937,-0.005259795259582485,-0.03275940152024804,0.02223981100108307,0.00785407260923935,0.00046296296296296336,5000,False
83,0.99,120,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_120.pth",0.804,0.8666915397942675,-0.014429792908301034,-0.041973252514451824,0.013113666697849755,0.007866597419825157,0.00046296296296296336,5000,False
83,0.99,124,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_124.pth",0.8108,0.8604716244545966,-0.006435435983777171,-0.03387223719580602,0.021001365228251676,0.00783613506469621,0.00046296296296296336,5000,False
83,0.99,128,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_128.pth",0.8146,0.8095757270626367,-0.0019680012318373684,-0.029229070647245926,0.025293068183571188,0.00778594488097776,0.00046296296296296336,5000,False
83,0.99,132,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_132.pth",0.809,0.8789991178840472,-0.00855158928732761,-0.036065899965086204,0.018962721390430988,0.007858272289715884,0.00046296296296296336,5000,False
83,0.99,136,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_136.pth",0.8164,0.8355437425510083,0.00014815207171307065,-0.027317212161244987,0.02761351630467113,0.007844292855691135,0.00046296296296296336,5000,False
83,0.99,140,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_140.pth",0.8146,0.8655164577195501,-0.001968001231837364,-0.029352114212335717,0.025416111748660986,0.007821086951200679,0.00046296296296296336,5000,False
83,0.99,144,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_144.pth",0.8136,0.9252377972901688,-0.0031436419560320504,-0.030391251626449088,0.024103967714384986,0.007782100687229559,0.00046296296296296336,5000,False
83,0.99,148,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_148.pth",0.8062,0.8948684197527904,-0.011843383315072727,-0.039166052229698864,0.015479285599553406,0.007803538112493938,0.00046296296296296336,5000,False
83,0.99,152,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_152.pth",0.8142,0.8731962663492591,-0.0024382575215152386,-0.02957138151127758,0.0246948664682471,0.0077494028063923946,0.00046296296296296336,5000,False
83,0.99,156,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_156.pth",0.8158,0.898241616181767,-0.0005572323628037396,-0.028107094784457533,0.026992630058850053,0.007868426107021166,0.00046296296296296336,5000,False
83,0.99,160,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_160.pth",0.8136,0.8764884247411434,-0.0031436419560320495,-0.03054158243812896,0.02425429852606486,0.007825036178710703,0.00046296296296296336,5000,False
83,0.99,164,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_164.pth",0.8118,0.9584873912054507,-0.005259795259582486,-0.03249414835136157,0.021974557832196602,0.007778314519159165,0.00046296296296296336,5000,False
83,0.99,168,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_168.pth",0.8094,0.9594731296096489,-0.008081332997649732,-0.0356695530110599,0.019506887015760435,0.007879381293357817,0.00046296296296296336,5000,False
